dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
1796-01-01,26.534,1.904,Andaman And Nicobar,India
1796-02-01,26.294,1.122,Andaman And Nicobar,India
1796-03-01,26.18,1.959,Andaman And Nicobar,India
1796-04-01,27.942,1.281,Andaman And Nicobar,India
1796-05-01,28.651,1.119,Andaman And Nicobar,India
1796-06-01,28.307,2.699,Andaman And Nicobar,India
1796-07-01,27.482,1.997,Andaman And Nicobar,India
1796-08-01,28.025,2.679,Andaman And Nicobar,India
1796-09-01,27.185,3.072,Andaman And Nicobar,India
1796-10-01,26.808,1.121,Andaman And Nicobar,India
1796-11-01,26.646,2.533,Andaman And Nicobar,India
1796-12-01,24.796,3.49,Andaman And Nicobar,India
1797-01-01,,,Andaman And Nicobar,India
1797-02-01,,,Andaman And Nicobar,India
1797-03-01,26.717,1.505,Andaman And Nicobar,India
1797-04-01,27.111,2.43,Andaman And Nicobar,India
1797-05-01,27.856,1.884,Andaman And Nicobar,India
1797-06-01,28.733,1.753,Andaman And Nicobar,India
1797-07-01,27.436,1.974,Andaman And Nicobar,India
1797-08-01,27.955,1.845,Andaman And Nicobar,India
1797-09-01,27.281,2.693,Andaman And Nicobar,India
1797-10-01,26.412,1.759,Andaman And Nicobar,India
1797-11-01,25.62,1.448,Andaman And Nicobar,India
1797-12-01,26.513,2.284,Andaman And Nicobar,India
1798-01-01,26.754,1.474,Andaman And Nicobar,India
1798-02-01,26.55,1.454,Andaman And Nicobar,India
1798-03-01,28.337,1.279,Andaman And Nicobar,India
1798-04-01,,,Andaman And Nicobar,India
1798-05-01,,,Andaman And Nicobar,India
1798-06-01,28.191,1.715,Andaman And Nicobar,India
1798-07-01,28.559,2.007,Andaman And Nicobar,India
1798-08-01,28.413,3.753,Andaman And Nicobar,India
1798-09-01,27.134,2.33,Andaman And Nicobar,India
1798-10-01,26.555,1.903,Andaman And Nicobar,India
1798-11-01,27.18,2.139,Andaman And Nicobar,India
1798-12-01,26.073,1.669,Andaman And Nicobar,India
1799-01-01,26.119,1.719,Andaman And Nicobar,India
1799-02-01,24.997,1.977,Andaman And Nicobar,India
1799-03-01,26.937,2.003,Andaman And Nicobar,India
1799-04-01,28.779,2.74,Andaman And Nicobar,India
1799-05-01,28.812,1.166,Andaman And Nicobar,India
1799-06-01,28.789,2.156,Andaman And Nicobar,India
1799-07-01,27.907,1.702,Andaman And Nicobar,India
1799-08-01,28.007,1.039,Andaman And Nicobar,India
1799-09-01,27.357,2.098,Andaman And Nicobar,India
1799-10-01,27.342,1.582,Andaman And Nicobar,India
1799-11-01,26.732,1.208,Andaman And Nicobar,India
1799-12-01,26.256,1.159,Andaman And Nicobar,India
1800-01-01,26.526,1.478,Andaman And Nicobar,India
1800-02-01,26.919,3.067,Andaman And Nicobar,India
1800-03-01,26.792,2.483,Andaman And Nicobar,India
1800-04-01,29.179,1.313,Andaman And Nicobar,India
1800-05-01,27.943,1.088,Andaman And Nicobar,India
1800-06-01,28.18,1.14,Andaman And Nicobar,India
1800-07-01,27.136,1.507,Andaman And Nicobar,India
1800-08-01,27.392,1.905,Andaman And Nicobar,India
1800-09-01,26.162,1.876,Andaman And Nicobar,India
1800-10-01,27.065,1.93,Andaman And Nicobar,India
1800-11-01,27.01,2.104,Andaman And Nicobar,India
1800-12-01,27.07,1.311,Andaman And Nicobar,India
1801-01-01,26.902,1.223,Andaman And Nicobar,India
1801-02-01,25.966,0.901,Andaman And Nicobar,India
1801-03-01,29.001,1.409,Andaman And Nicobar,India
1801-04-01,,,Andaman And Nicobar,India
1801-05-01,,,Andaman And Nicobar,India
1801-06-01,27.531,1.58,Andaman And Nicobar,India
1801-07-01,27.952,2.31,Andaman And Nicobar,India
1801-08-01,27.271,1.415,Andaman And Nicobar,India
1801-09-01,26.81,1.185,Andaman And Nicobar,India
1801-10-01,26.736,1.254,Andaman And Nicobar,India
1801-11-01,26.942,1.22,Andaman And Nicobar,India
1801-12-01,27.762,2.865,Andaman And Nicobar,India
1802-01-01,27.42,1.549,Andaman And Nicobar,India
1802-02-01,26.81,1.297,Andaman And Nicobar,India
1802-03-01,28.721,1.567,Andaman And Nicobar,India
1802-04-01,28.494,1.595,Andaman And Nicobar,India
1802-05-01,27.774,1.623,Andaman And Nicobar,India
1802-06-01,29.291,1.331,Andaman And Nicobar,India
1802-07-01,28.404,1.333,Andaman And Nicobar,India
1802-08-01,27.914,1.295,Andaman And Nicobar,India
1802-09-01,27.765,1.599,Andaman And Nicobar,India
1802-10-01,27.306,2.677,Andaman And Nicobar,India
1802-11-01,26.666,1.539,Andaman And Nicobar,India
1802-12-01,26.205,1.531,Andaman And Nicobar,India
1803-01-01,24.924,1.621,Andaman And Nicobar,India
1803-02-01,25.281,2.368,Andaman And Nicobar,India
1803-03-01,27.185,1.737,Andaman And Nicobar,India
1803-04-01,29.045,1.33,Andaman And Nicobar,India
1803-05-01,28.924,1.314,Andaman And Nicobar,India
1803-06-01,28.532,1.109,Andaman And Nicobar,India
1803-07-01,28.498,1.205,Andaman And Nicobar,India
1803-08-01,29.134,1.582,Andaman And Nicobar,India
1803-09-01,27.899,1.347,Andaman And Nicobar,India
1803-10-01,27.037,2.136,Andaman And Nicobar,India
1803-11-01,27.166,1.806,Andaman And Nicobar,India
1803-12-01,26.226,2.089,Andaman And Nicobar,India
1804-01-01,26.768,3.172,Andaman And Nicobar,India
1804-02-01,26.057,1.374,Andaman And Nicobar,India
1804-03-01,27.066,2.841,Andaman And Nicobar,India
1804-04-01,29.898,1.35,Andaman And Nicobar,India
1804-05-01,29.275,1.395,Andaman And Nicobar,India
1804-06-01,28.793,1.114,Andaman And Nicobar,India
1804-07-01,29.268,1.966,Andaman And Nicobar,India
1804-08-01,28.132,1.457,Andaman And Nicobar,India
1804-09-01,27.687,2.791,Andaman And Nicobar,India
1804-10-01,26.866,1.496,Andaman And Nicobar,India
1804-11-01,28.048,2.895,Andaman And Nicobar,India
1804-12-01,25.904,2.976,Andaman And Nicobar,India
1805-01-01,26.647,1.312,Andaman And Nicobar,India
1805-02-01,26.102,1.883,Andaman And Nicobar,India
1805-03-01,27.883,1.031,Andaman And Nicobar,India
1805-04-01,27.801,1.694,Andaman And Nicobar,India
1805-05-01,28.609,0.922,Andaman And Nicobar,India
1805-06-01,28.83,1.989,Andaman And Nicobar,India
1805-07-01,27.738,1.389,Andaman And Nicobar,India
1805-08-01,28.628,1.025,Andaman And Nicobar,India
1805-09-01,27.162,1.834,Andaman And Nicobar,India
1805-10-01,25.491,1.665,Andaman And Nicobar,India
1805-11-01,26.241,2.264,Andaman And Nicobar,India
1805-12-01,27.504,1.027,Andaman And Nicobar,India
1806-01-01,26.587,1.409,Andaman And Nicobar,India
1806-02-01,26.181,2.061,Andaman And Nicobar,India
1806-03-01,26.952,1.509,Andaman And Nicobar,India
1806-04-01,28.109,2.393,Andaman And Nicobar,India
1806-05-01,28.62,1.441,Andaman And Nicobar,India
1806-06-01,26.992,1.398,Andaman And Nicobar,India
1806-07-01,27.559,1.245,Andaman And Nicobar,India
1806-08-01,28.261,1.48,Andaman And Nicobar,India
1806-09-01,28.004,1.713,Andaman And Nicobar,India
1806-10-01,26.407,1.012,Andaman And Nicobar,India
1806-11-01,26.762,1.364,Andaman And Nicobar,India
1806-12-01,27.108,1.705,Andaman And Nicobar,India
1807-01-01,25.332,1.894,Andaman And Nicobar,India
1807-02-01,26.076,2.573,Andaman And Nicobar,India
1807-03-01,,,Andaman And Nicobar,India
1807-04-01,,,Andaman And Nicobar,India
1807-05-01,26.483,1.39,Andaman And Nicobar,India
1807-06-01,28.371,1.072,Andaman And Nicobar,India
1807-07-01,28.112,1.829,Andaman And Nicobar,India
1807-08-01,27.777,1.647,Andaman And Nicobar,India
1807-09-01,27.713,1.274,Andaman And Nicobar,India
1807-10-01,26.359,0.966,Andaman And Nicobar,India
1807-11-01,26.813,1.799,Andaman And Nicobar,India
1807-12-01,27.734,1.29,Andaman And Nicobar,India
1808-01-01,,,Andaman And Nicobar,India
1808-02-01,,,Andaman And Nicobar,India
1808-03-01,,,Andaman And Nicobar,India
1808-04-01,,,Andaman And Nicobar,India
1808-05-01,,,Andaman And Nicobar,India
1808-06-01,,,Andaman And Nicobar,India
1808-07-01,,,Andaman And Nicobar,India
1808-08-01,,,Andaman And Nicobar,India
